state,DUI_admission,DUI_denial
Alabama,73,2852
Alaska,58,2345
Arizona,108,6938
Arkansas,39,1601
California,141,3818
Colorado,198,7083
Connecticut,117,4464
Delaware,53,2041
District of Columbia,54,2261
Florida,113,4856
Georgia,36,2543
Hawaii,136,3336
Idaho,65,2243
Illinois,68,2716
Indiana,125,4759
Iowa,157,4029
Kansas,155,6295
Kentucky,77,3019
Louisiana,104,2911
Maine,106,4903
Maryland,126,6191
Massachusetts,219,8452
Michigan,158,4426
Minnesota,276,9528
Mississippi,41,1275
Missouri,72,2687
Montana,151,3800
Nebraska,461,11607
Nevada,63,1915
New Hampshire,53,3451
New Jersey,146,6746
New Mexico,66,3602
New York,58,3480
North Carolina,63,3016
North Dakota,176,4121
Ohio,165,4744
Oklahoma,58,2990
Oregon,67,2863
Pennsylvania,164,5262
Rhode Island,101,3614
South Carolina,117,4549
South Dakota,133,3715
Tennessee,41,1658
Texas,187,6608
Utah,91,3946
Vermont,90,3880
Virginia,99,4408
Washington,154,5669
West Virginia,27,1920
Wisconsin,153,3967
Wyoming,61,2780
